               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.01582,            0.025653,                   0,             0.93853,              0.9206,             0.96402,             0.76982,            0.017525,            0.017553,                   0,            0.001915,            0.001915,            0.001915
                  51,             0.01569,            0.026434,                   0,             0.93657,             0.92308,             0.96593,             0.77165,             0.01751,            0.017592,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.015285,             0.02658,                   0,             0.93046,             0.92966,             0.95802,             0.76265,            0.017344,            0.017641,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.015452,            0.026537,                   0,             0.94101,             0.91046,             0.96161,             0.76313,            0.017906,             0.01817,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.015376,            0.025463,                   0,             0.92858,             0.93052,             0.96313,             0.76551,            0.017292,            0.017676,                   0,            0.001255,            0.001255,            0.001255
                  55,            0.015185,            0.024931,                   0,             0.93763,             0.93259,             0.96491,             0.76679,            0.017485,            0.017524,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.015041,            0.024785,                   0,             0.93995,             0.93052,             0.96781,             0.77463,              0.0172,            0.017522,                   0,            0.000925,            0.000925,            0.000925
                  57,              0.0149,             0.02576,                   0,             0.93301,             0.93052,              0.9677,             0.77622,            0.016988,            0.017423,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.014486,            0.024951,                   0,             0.94558,             0.91811,             0.96714,             0.77424,            0.017041,            0.017503,                   0,            0.000595,            0.000595,            0.000595
                  59,            0.014745,            0.025203,                   0,             0.92356,             0.94045,             0.96677,             0.77683,             0.01718,            0.017483,                   0,             0.00043,             0.00043,             0.00043
